"Watershed_designation","Fire_treatment","Year","Plot_number","Transect_number","Grass_cover","Shrub_cover","richness","shannon"
"1d","annual",1984,1,1,132.5,0,1,0
"1d","annual",1984,2,1,148.5,0,1,0
"1d","annual",1984,3,1,165,0,1,0
"1d","annual",1984,4,1,140.5,0,1,0
"1d","annual",1984,5,1,147.5,0,1,0
"1d","annual",1984,6,2,132.5,0,1,0
"1d","annual",1984,7,2,163,0,1,0
"1d","annual",1984,8,2,158,0,1,0
"1d","annual",1984,9,2,191,0,1,0
"1d","annual",1984,10,2,153.5,0,1,0
"1d","annual",1984,11,3,142.5,0,1,0
"1d","annual",1984,12,3,165,0,1,0
"1d","annual",1984,13,3,155,0,1,0
"1d","annual",1984,14,3,142.5,0,1,0
"1d","annual",1984,15,3,195,0,1,0
"1d","annual",1984,16,4,147.5,0,1,0
"1d","annual",1984,17,4,155,0,1,0
"1d","annual",1984,18,4,160,0,1,0
"1d","annual",1984,19,4,142.5,0,1,0
"1d","annual",1984,20,4,165,0,1,0
"1d","annual",1985,1,1,202.5,0,1,0
"1d","annual",1985,2,1,183.5,0,1,0
"1d","annual",1985,3,1,195,0,1,0
"1d","annual",1985,4,1,213.5,0,1,0
"1d","annual",1985,5,1,217.5,0,1,0
"1d","annual",1985,6,2,150,0,1,0
"1d","annual",1985,7,2,180.5,0,1,0
"1d","annual",1985,8,2,160,0,1,0
"1d","annual",1985,9,2,161,0,1,0
"1d","annual",1985,10,2,172.5,0,1,0
"1d","annual",1985,11,3,217.5,0,1,0
"1d","annual",1985,12,3,182.5,0,1,0
"1d","annual",1985,13,3,220,0,1,0
"1d","annual",1985,14,3,190,0,1,0
"1d","annual",1985,15,3,212.5,0,1,0
"1d","annual",1985,16,4,172.5,0,1,0
"1d","annual",1985,17,4,202.5,0,1,0
"1d","annual",1985,18,4,190,0,1,0
"1d","annual",1985,19,4,160,0,1,0
"1d","annual",1985,20,4,182.5,0,1,0
"1d","annual",1986,1,1,157.5,0,1,0
"1d","annual",1986,2,1,172.5,0,1,0
"1d","annual",1986,3,1,190,0,1,0
"1d","annual",1986,4,1,172.5,0,1,0
"1d","annual",1986,5,1,212.5,0,1,0
"1d","annual",1986,6,2,157.5,0,1,0
"1d","annual",1986,7,2,101,0,1,0
"1d","annual",1986,8,2,142.5,0,1,0
"1d","annual",1986,9,2,172.5,0,1,0
"1d","annual",1986,10,2,112.5,0,1,0
"1d","annual",1986,11,3,95,0,1,0
"1d","annual",1986,12,3,132.5,0,1,0
"1d","annual",1986,13,3,160,0,1,0
"1d","annual",1986,14,3,172.5,0,1,0
"1d","annual",1986,15,3,112.5,0,1,0
"1d","annual",1986,16,4,125,0,1,0
"1d","annual",1986,17,4,95,0,1,0
"1d","annual",1986,18,4,172.5,0,1,0
"1d","annual",1986,19,4,172.5,0,1,0
"1d","annual",1986,20,4,160,0,1,0
"1d","annual",1987,1,1,132.5,0,1,0
"1d","annual",1987,2,1,118.5,0,1,0
"1d","annual",1987,3,1,142.5,0,1,0
"1d","annual",1987,4,1,107.5,0,1,0
"1d","annual",1987,5,1,125,0,1,0
"1d","annual",1987,6,2,110,0,1,0
"1d","annual",1987,7,2,110,0,1,0
"1d","annual",1987,8,2,142.5,0,1,0
"1d","annual",1987,9,2,160,0,1,0
"1d","annual",1987,10,2,95,0,1,0
"1d","annual",1987,11,3,101,0,1,0
"1d","annual",1987,12,3,115,0,1,0
"1d","annual",1987,13,3,130,0,1,0
"1d","annual",1987,14,3,125,0,1,0
"1d","annual",1987,15,3,142.5,0,1,0
