"Watershed_designation","Fire_treatment","mean_grass","mean_shrub","mean_total","sd_grass","n"
"1a","annual_to_infrequent_reversal",88.2916666666667,0,88.2916666666667,12.9671330504481,60
"1c","annual_to_infrequent_reversal",116.096428571429,0,116.096428571429,31.4358250776131,280
"1d","annual",123.861666666667,0,123.861666666667,27.7571455503635,600
"20a","infrequent_to_annual_reversal",42.7,3.54166666666667,46.2416666666667,16.3458904802773,60
"20b","infrequent",49.4799666110184,15.3275,64.8330550918197,33.2949788715819,600
"20d","infrequent_to_annual_reversal",44.0357142857143,1.72142857142857,45.7571428571429,14.5870794875237,140
"4b","infrequent",66.46,24.3583333333333,90.8183333333333,34.7190858876611,600
"r1a","infrequent_to_annual_reversal",91.8535714285714,3.8625,95.7160714285714,30.0210497494574,280
"r1b","infrequent_to_annual_reversal",88.5446428571429,5.28571428571429,93.8303571428571,32.6204793055358,280
"r20a","annual_to_infrequent_reversal",87.1107142857143,0.0946428571428571,87.2053571428571,23.3473512314311,280
"r20b","annual_to_infrequent_reversal",98.632,0.008,98.64,20.1292653939781,280
