"Watershed_designation","Fire_treatment","Year","Shrub_cover","shrub_diff"
"4b","infrequent",1993,77.5,70.5
"20d","infrequent_to_annual_reversal",1997,32.5,32.5
"20d","infrequent_to_annual_reversal",1998,32.5,32.5
"20a","infrequent_to_annual_reversal",1999,32.5,32
"20a","infrequent_to_annual_reversal",1999,32.5,32.5
"20d","infrequent_to_annual_reversal",1999,32.5,32.5
"20b","infrequent",2000,88.5,85
"4b","infrequent",2000,100,93
"r1a","infrequent_to_annual_reversal",2000,85,85
"r1b","infrequent_to_annual_reversal",2000,63.5,63.5
"20b","infrequent",2001,88.5,85
"4b","infrequent",2001,85,85
"4b","infrequent",2001,88.5,70
"r1a","infrequent_to_annual_reversal",2001,85,85
"r1a","infrequent_to_annual_reversal",2001,36,36
"20b","infrequent",2002,89,74
"4b","infrequent",2002,85,85
"4b","infrequent",2002,88.5,70
"r1a","infrequent_to_annual_reversal",2002,85,85
"r1a","infrequent_to_annual_reversal",2002,47.5,47.5
"r1b","infrequent_to_annual_reversal",2002,89,88.5
"20b","infrequent",2003,113,80.5
"4b","infrequent",2003,85,85
"r1a","infrequent_to_annual_reversal",2003,62.5,62.5
"r1a","infrequent_to_annual_reversal",2003,47.5,47.5
"r1b","infrequent_to_annual_reversal",2003,62.5,62
"20b","infrequent",2004,134,101.5
"4b","infrequent",2004,85,85
"r1b","infrequent_to_annual_reversal",2004,47.5,46.5
"20b","infrequent",2005,63,62.5
"20b","infrequent",2005,145.5,82.5
"r1b","infrequent_to_annual_reversal",2005,65,50
"20b","infrequent",2006,62.5,62
"20b","infrequent",2006,193,130.5
"r1b","infrequent_to_annual_reversal",2006,65,50
"20b","infrequent",2007,145,126
"20b","infrequent",2008,95,59
"20b","infrequent",2008,145,114.5
"4b","infrequent",2008,85,81.5
"20b","infrequent",2009,95,59
"20b","infrequent",2009,145.5,98
"4b","infrequent",2009,85,81.5
"r1b","infrequent_to_annual_reversal",2009,65,50
"20b","infrequent",2010,117.5,81.5
"20b","infrequent",2010,145.5,80.5
"20b","infrequent",2010,97.5,64.5
"4b","infrequent",2010,85,85
"20b","infrequent",2011,97.5,61.5
"4b","infrequent",2011,97.5,97.5
"4b","infrequent",2011,85,85
"r20a","annual_to_infrequent_reversal",2012,3.5,3.5
"r20b","annual_to_infrequent_reversal",2012,0.5,0.5
"r20b","annual_to_infrequent_reversal",2012,0.5,0.5
"20b","infrequent",2012,99,62.5
"r20a","annual_to_infrequent_reversal",2013,18.5,18.5
"r20a","annual_to_infrequent_reversal",2013,3.5,3.5
"r20b","annual_to_infrequent_reversal",2013,0.5,0.5
"r20b","annual_to_infrequent_reversal",2013,0.5,0.5
"20b","infrequent",2013,130,66.5
"4b","infrequent",2013,181,181
